pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_24446,RebarPlacement_00,6586,severe_detection_failure_temporal_bbox,full,ok,0.2813533723802889,0.01605158349153384,1.0
SAM-3DBody,field_all_fb_25124,RebarPlacement_00,7264,severe_detection_failure_temporal_bbox,full,ok,0.2878131722981144,0.01276860232523249,1.0
SAM-3DBody,field_all_fb_25890,RebarPlacement_00,8030,severe_detection_failure_temporal_bbox,full,ok,0.2872803235457744,0.007093855364214428,1.0
SAM-3DBody,field_all_fb_26353,RebarPlacement_00,8493,severe_detection_failure_temporal_bbox,full,ok,0.28203079453480095,0.018757991628871644,1.0
SAM-3DBody,field_all_fb_26549,RebarTying_01,181,severe_detection_failure_temporal_bbox,full,ok,0.2714438764553604,0.007086295608218184,1.0
SAM-3DBody,field_all_fb_27031,RebarTying_01,663,severe_detection_failure_temporal_bbox,full,ok,0.2730867426871775,0.004813260793483348,1.0
SAM-3DBody,field_all_fb_27262,RebarTying_01,894,severe_detection_failure_temporal_bbox,full,ok,0.27432483849791384,0.024125290479764454,1.0
SAM-3DBody,field_all_fb_27395,RebarTying_01,1027,severe_detection_failure_temporal_bbox,full,ok,0.27159450218377523,0.006252928146463042,1.0
SAM-3DBody,field_all_fb_28474,RebarTying_02,407,severe_detection_failure_temporal_bbox,full,ok,0.2817665103892598,0.016338647757956164,1.0
SAM-3DBody,field_all_fb_28614,RebarTying_02,547,severe_detection_failure_temporal_bbox,full,ok,0.2796569194120044,0.020252784406561284,1.0
SAM-3DBody,field_all_fb_28720,RebarTying_02,653,severe_detection_failure_temporal_bbox,full,ok,0.2790914431322657,0.021882914071655133,1.0
SAM-3DBody,field_all_fb_29150,RebarTying_02,1083,severe_detection_failure_temporal_bbox,full,ok,0.2708622935178407,0.0201253670799744,1.0
SAM-3DBody,field_all_fb_30290,WallPlacement_00,305,severe_detection_failure_temporal_bbox,full,ok,0.29040232034362595,0.0101566319525188,1.0
SAM-3DBody,field_all_fb_30421,WallPlacement_00,436,severe_detection_failure_temporal_bbox,full,ok,0.28780827023485417,0.020947686560097767,1.0
SAM-3DBody,field_all_fb_30540,WallPlacement_00,555,severe_detection_failure_temporal_bbox,full,ok,0.2882574166482452,0.013237228677723449,1.0
SAM-3DBody,field_all_fb_30882,WallPlacement_00,897,severe_detection_failure_temporal_bbox,full,ok,0.2872805416685731,0.018767804737708463,1.0
SAM-3DBody,field_all_fb_33235,WallPlacement_00,3250,severe_detection_failure_temporal_bbox,full,ok,0.28478628607606976,0.02004959394079454,1.0
SAM-3DBody,field_all_fb_34658,WallPlacement_00,4673,severe_detection_failure_temporal_bbox,full,ok,0.28382740462492556,0.015463445949842324,1.0
SAM-3DBody,field_all_fb_38664,WallPlacement_00,8679,severe_detection_failure_temporal_bbox,full,ok,0.2932988775578481,0.016772998634633062,1.0
SAM-3DBody,field_all_fb_40064,WallPlacement_00,10079,severe_detection_failure_temporal_bbox,full,ok,0.28876074014045827,0.013410949539630254,1.0
